0127349|Waking the Dead|2000|R|2000-03-24|105|Drama, Mystery, Romance|Keith Gordon|Scott Spencer, Robert Dillon|Billy Crudup, Bill Haugland, Nelson Landrieu|A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge.|English|United States, Canada|1 nomination|59|6.5|7113|2005-04-12|270745|https://en.wikipedia.org/wiki/Waking_the_Dead_(film)|
0130623|Dinosaur|2000|PG|2000-05-19|82|Animation, Adventure, Drama|Eric Leighton, Ralph Zondag|Thom Enriquez, John Harrison, Robert Nelson Jacobs|D.B. Sweeney, Julianna Margulies, Samuel E. Wright|An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.|English|United States|4 wins & 21 nominations|56|6.5|57403|2004-12-21|137748063|https://en.wikipedia.org/wiki/Dinosaur_(film)|
0132245|Driven|2001|PG-13|2001-04-27|116|Action, Drama, Sport|Renny Harlin|Jan Skrentny, Neal Tabachnick, Sylvester Stallone|Sylvester Stallone, Kip Pardue, Til Schweiger|A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.|English, German, Spanish|United States, Canada, Australia|1 win & 10 nominations|29|4.6|40576|2002-02-05|32720065|https://en.wikipedia.org/wiki/Driven_(2001_film)|
0133152|Planet of the Apes|2001|PG-13|2001-07-27|119|Action, Adventure, Sci-Fi|Tim Burton|Pierre Boulle, William Broyles Jr., Lawrence Konner|Mark Wahlberg, Helena Bonham Carter, Tim Roth|In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.|English|United States|11 wins & 32 nominations total|50|5.7|215660|2001-11-20|180011740|https://en.wikipedia.org/wiki/Planet_of_the_Apes_(2001_film)|
0133240|Treasure Planet|2002|PG|2002-11-27|95|Animation, Adventure, Family|Ron Clements, John Musker|Robert Louis Stevenson, Ron Clements, John Musker|Joseph Gordon-Levitt, Emma Thompson, Martin Short|A Disney animated version of "Treasure Island". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.|English|United States|Nominated for 1 Oscar. 1 win & 14 nominations total|60|7.2|110513|2004-01-27|38176783|https://en.wikipedia.org/wiki/Treasure_Planet|
0134084|Scream 3|2000|R|2000-02-04|116|Horror, Mystery|Wes Craven|Kevin Williamson, Ehren Kruger|David Arquette, Neve Campbell, Courteney Cox|While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.|English|United States|6 wins & 5 nominations|56|5.6|130716|2000-07-05|89143175|https://en.wikipedia.org/wiki/Scream_3|
0134630|Duets|2000|R|2000-09-15|112|Comedy, Drama, Music|Bruce Paltrow|John Byrum|Huey Lewis, Gwyneth Paltrow, Paul Giamatti|A professional karaoke hustler reconnects with his daughter and a bored suburban businessman turns outlaw karaoke singer, among other plotlines.|English|United States|1 nomination|40|6.1|9470|2001-05-08|4739023|https://en.wikipedia.org/wiki/Duets_(film)|
0134847|Pitch Black|2000|R|2000-02-18|109|Action, Horror, Sci-Fi|David Twohy|Jim Wheat, Ken Wheat, David Twohy|Radha Mitchell, Cole Hauser, Vin Diesel|A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.|English, Arabic|United States, Australia|2 wins & 9 nominations|49|7.1|232479|2004-06-01|39240659|https://en.wikipedia.org/wiki/Pitch_Black_(film)|
0134983|Supernova|2000|PG-13|2000-01-14|90|Horror, Sci-Fi, Thriller|Walter Hill|William Malone, Daniel Chuba, David C. Wilson|James Spader, Peter Facinelli, Robin Tunney|A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.|English|United States, Switzerland|NULL|19|4.9|17657|2001-08-14|14230455|https://en.wikipedia.org/wiki/Supernova_(2000_film)|
0138524|Intolerable Cruelty|2003|PG-13|2003-10-10|100|Comedy, Crime, Romance|Joel Coen, Ethan Coen|Robert Ramsey, Matthew Stone, John Romano|George Clooney, Catherine Zeta-Jones, Billy Bob Thornton|A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.|English, French|United States|3 nominations|71|6.2|95054|2004-06-29|35327628|https://en.wikipedia.org/wiki/Intolerable_Cruelty|
0138749|The Road to El Dorado|2000|PG|2000-03-31|89|Animation, Adventure, Comedy|Bibo Bergeron, Don Paul, Jeffrey Katzenberg|Terry Rossio, Ted Elliott, Karey Kirkpatrick|Kevin Kline, Kenneth Branagh, Rosie Perez|Two swindlers get their hands on a map to the fabled city of gold, El Dorado.|English|United States, United Kingdom|1 win & 12 nominations|51|6.9|90957|2005-06-07|50863742|https://en.wikipedia.org/wiki/The_Road_to_El_Dorado|
0138946|The Yards|2000|R|2000-04-27|115|Crime, Drama, Romance|James Gray|James Gray, Matt Reeves|Mark Wahlberg, Joaquin Phoenix, Charlize Theron|Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.|English, Spanish|United States|3 wins & 2 nominations|58|6.4|20854|2002-07-02|889352|https://en.wikipedia.org/wiki/The_Yards|
0139654|Training Day|2001|R|2001-10-05|122|Crime, Drama, Thriller|Antoine Fuqua|David Ayer|Denzel Washington, Ethan Hawke, Scott Glenn|A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.|English, Russian, Spanish, Korean, Greek|United States|Won 1 Oscar. 18 wins & 23 nominations total|69|7.7|412471|2002-03-19|76631907|https://en.wikipedia.org/wiki/Training_Day|
0141907|Town & Country|2001|R|2001-04-27|104|Comedy, Romance|Peter Chelsom|Michael Laughlin, Buck Henry|Warren Beatty, Diane Keaton, Nastassja Kinski|Porter Stoddard is a well-known New York architect who is at a crossroads... a nexus where twists and turns lead to myriad missteps, some with his wife Ellie, others with longtime friends Mona and her husband Griffin. Deciding which |English|United States|1 win & 5 nominations|34|4.5|4922|2012-04-01|6719973|https://en.wikipedia.org/wiki/Town_%26_Country_(film)|
0141926|U-571|2000|PG-13|2000-04-21|116|Action, War|Jonathan Mostow|Jonathan Mostow, Sam Montgomery, David Ayer|Matthew McConaughey, Bill Paxton, Harvey Keitel|A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.|English, German|France, United States, Italy|Won 1 Oscar. 4 wins & 10 nominations total|62|6.6|80642|2008-03-11|77122415|https://en.wikipedia.org/wiki/U-571_(film)|
0144084|American Psycho|2000|R|2000-04-14|101|Crime, Drama, Horror|Mary Harron|Bret Easton Ellis, Mary Harron, Guinevere Turner|Christian Bale, Justin Theroux, Josh Lucas|A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.|English, Spanish, Cantonese|United States, Canada|8 wins & 13 nominations|64|7.6|534419|2005-06-21|15070285|https://en.wikipedia.org/wiki/American_Psycho_(film)|
